Завод,Год отгрузки,Месяц,Дата фактической отгрузки,Цех,Стан,МЗК,Получатель МЗК,ОХ,Обозначение ВнешГрМт,Краткое наименование материала,Полное наименование материала,НТД трубы,НД на покрытие,НД на внутреннее покрытие,"Диаметр наружный, мм","Размер 1, мм","Размер 2, мм","Стенка, мм","Длина трубы, мм",Марка стали,Группа прочности,Тип Резьбы,Высадка,Признак термообрабоки,Вид труб-М1,Вид труб-М2,Вид труб-М3 Вид бизнеса,Вид труб-М4-Спец,"Вес, тн.",Валюта Документа,Валютный курс с/ф ТД,"Стоимость ТД без НДС, руб.","Цена ТД без НДС, руб./тн.",Инкотермс,"Инкотермс, Место",Код ТН ВЭД,Номер ГТД,Дата ГТД,Отдел Сбыта,ПФМ Код,ПФМ Текст,Куратор,Спецификация ТД-клиент,Внутр.номер Получателя,ОКПО получателя,ИНН получателя,Получатель,Адрес Получателя,Город Получателя,Регион Получателя,Страна Получателя,Станция назначения,Тип отгрузки,Внутр.номер Плательщика,ОКПО плательщика,ИНН плательщика,Плательщик,Город Плательщика,Страна Плательщика,ОКПО основного потребителя,Основной Потребитель,Регион ПОСТАВКИ РФ,Фед.округ РФ/ Регион мира,Страна назначения,Направление отгрузки,Отрасль Основного Потребителя,Подотрасль Основного Потребителя,Подотрасль потребителя 2 /продукт,Холдинги,Металлотрейдер,№ строки,Получатель рабочее наименование,Плательщик рабочее наименование,ЗРУ из КД,ИГК из КС,"Количество, м","Количество, шт.",Вид трубы Бизнес (M1),Сегмент Бизнес (M3)
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 30ХГСА 121 28,"Трубы горячедеформированные общего назначения D121,00 X S28,00 ГОСТ 8732-78/8731-74, МСт 30ХГСА, ГрПст В, Н/Д Обрезка плазмой",ГОСТ 8732-78/8731-74,,,121,,,28,,30ХГСА,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,16.84,RUB,"1,00000",2482653.84,147426,FCA,"АО ""ВТЗ""",,,,ДПВР,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11014497,00232288,2123000942,"Акционерное общество ""Канашский автоагрегатный завод""","429333, Россия, Чувашская Республика, г. Канаш, ул. Фрунзе, дом 6",г. Канаш,Чувашская Респ.,Россия,,Самовывоз,11011574,88605449,5256083213,"Общество с ограниченной ответственностью ""Нижегородские Автокомпоненты""",город Москва,Россия,00232288,Канашский автоагрегатный завод,Чувашская Республика,Приволжский ФО,Россия,РФ,Машиностроение,Автомобильное,Автокомпоненты,-,-,В31796,Канашский автоагрегатный завод,Автокомпоненты - Группа ГАЗ,,,264.43,33,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 45 203 38,"Трубы горячедеформированные общего назначения D203,00 X S38,00 ГОСТ 8732-78/8731-74, МСт 45, ГрПст В, М/Д: 7600 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,203,,,38,,45,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,4.724,RUB,"1,00000",452716.69816,95833.34,EXW,"АО ""ВТЗ""",,,,ДПВР,БН ПП,ОП_ПМП,ЗУЕВ Н.А.,,11003184,93557965,3301019723,"Акционерное общество ""Александровский завод бурового оборудования""","601651, область Владимирская, район Александровский, город Александров, улица Юбилейная, 8",город Александров,Владимирская обл.,Россия,,Самовывоз,11003184,93557965,3301019723,"Акционерное общество ""Александровский завод бурового оборудования""",город Москва,Россия,93557965,Александровский завод бурового оборудования,Владимирская область,Центральный ФО,Россия,РФ,Машиностроение,Буровое и нефтепромысловое,Буровое и нефтепромысловое,-,-,В31797,Александровский завод бурового оборудования,Александровский завод бурового оборудования,,,30.55,4,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 40Х 89 20,"Трубы горячедеформированные общего назначения D89,00 X S20,00 ГОСТ 8732-78/8731-74, МСт 40Х, ГрПст В, Н/К: 7500 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,89,,,20,,40Х,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,7.57,RUB,"1,00000",909516.575,120147.5,CPT,Г. ЕКАТЕРИНБУРГ,,,,,ТД ТМК ПП,ПРУ,ИВАНОВА И.В.,,11021742,87832290,6674306564,"Общество с ограниченной ответственностью ""Уральский металлопромышленный центр""","620109, Свердловская область, г.о. город Екатеринбург, г Екатеринбург, ул Татищева, стр. 49А, офис 904",г Екатеринбург,Свердловская обл.,Россия,,Автотранспорт,4100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,87832290,Уральский металлопромышленный центр,Свердловская область,Уральский ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,В31824,Уральский металлопромышленный центр,ТД ТМК,,,224.68,27,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 40Х 114 16,"Трубы горячедеформированные общего назначения D114,00 X S16,00 ГОСТ 8732-78/8731-74, МСт 40Х, ГрПст В, Н/К: 7500 Обрезка резцом, ТипКонцов: Прямой рез",ГОСТ 8732-78/8731-74,,,114,,,16,,40Х,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,3.37,RUB,"1,00000",404897.075,120147.5,CPT,Г. ЕКАТЕРИНБУРГ,,,,,ТД ТМК ПП,ПРУ,ИВАНОВА И.В.,,11021742,87832290,6674306564,"Общество с ограниченной ответственностью ""Уральский металлопромышленный центр""","620109, Свердловская область, г.о. город Екатеринбург, г Екатеринбург, ул Татищева, стр. 49А, офис 904",г Екатеринбург,Свердловская обл.,Россия,,Автотранспорт,4100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,87832290,Уральский металлопромышленный центр,Свердловская область,Уральский ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,В31825,Уральский металлопромышленный центр,ТД ТМК,,,87.54,11,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 40Х 121 25,"Трубы горячедеформированные общего назначения D121,00 X S25,00 ГОСТ 8732-78/8731-74, МСт 40Х, ГрПст В, Н/К: 7500 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,121,,,25,,40Х,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,7.665,RUB,"1,00000",920930.5875,120147.5,CPT,Г. ЕКАТЕРИНБУРГ,,,,,ТД ТМК ПП,ПРУ,ИВАНОВА И.В.,,11021742,87832290,6674306564,"Общество с ограниченной ответственностью ""Уральский металлопромышленный центр""","620109, Свердловская область, г.о. город Екатеринбург, г Екатеринбург, ул Татищева, стр. 49А, офис 904",г Екатеринбург,Свердловская обл.,Россия,,Автотранспорт,4100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,87832290,Уральский металлопромышленный центр,Свердловская область,Уральский ФО,Россия,РФ,Торгово-посреднические организации,ТПО,Локальный трейдер,-,ТД ТМК,В31826,Уральский металлопромышленный центр,ТД ТМК,,,129.22,15,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 20Х 127 16,"Трубы горячедеформированные общего назначения D127,00 X S16,00 ГОСТ 8732-78/8731-74, МСт 20Х, ГрПст В, Н/Д Обрезка резцом, ТипКонцов: Прямой рез",ГОСТ 8732-78/8731-74,,,127,,,16,,20Х,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,19.104,RUB,"1,00000",1855886.736,97146.5,FCA,СТ. ТРУБНАЯ ПРИВОЛЖСКОЙ ЖД,,,,,ПП,ПРУ,ЯБЛОКОВА МАРИНА ПАВЛ,,11019143,91851525,5614057287,"Акционерное общество ""Механический завод""","462403, Оренбургская область, г. Орск, пр-кт Мира, д. 4, к. 3А",г. Орск,Оренбургская обл.,Россия,,Самовывоз,11019143,91851525,5614057287,"Акционерное общество ""Механический завод""",г. Орск,Россия,91851525,Механический завод,Оренбургская область,Приволжский ФО,Россия,РФ,Машиностроение,Машиностроение.Прочее,-,-,-,В31827,Механический завод,Механический завод,1,2224187417982412237206829,436.14,50,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 45 178 19,"Трубы горячедеформированные общего назначения D178,00 X S19,00 ГОСТ 8732-78/8731-74, МСт 45, ГрПст В, М/Д: 8500 Обрезка резцом, ТипКонцов: Прямой рез",ГОСТ 8732-78/8731-74,,,178,,,19,,45,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,3.2,RUB,"1,00000",320000,100000,EXW,"АО ""ВТЗ""",,,,ДПВР,БН ПП,ОП_ПМП,ЗУЕВ Н.А.,,11003184,93557965,3301019723,"Акционерное общество ""Александровский завод бурового оборудования""","601651, область Владимирская, район Александровский, город Александров, улица Юбилейная, 8",город Александров,Владимирская обл.,Россия,,Самовывоз,11003184,93557965,3301019723,"Акционерное общество ""Александровский завод бурового оборудования""",город Москва,Россия,93557965,Александровский завод бурового оборудования,Владимирская область,Центральный ФО,Россия,РФ,Машиностроение,Буровое и нефтепромысловое,Буровое и нефтепромысловое,-,-,В31828,Александровский завод бурового оборудования,Александровский завод бурового оборудования,,,42.95,5,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 45 180 40,"Трубы горячедеформированные общего назначения D180,00 X S40,00 ГОСТ 8732-78/8731-74, МСт 45, ГрПст В, М/Д: 5400 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,180,,,40,,45,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,5.257,RUB,"1,00000",503795.86838,95833.34,EXW,"АО ""ВТЗ""",,,,ДПВР,БН ПП,ОП_ПМП,ЗУЕВ Н.А.,,11003184,93557965,3301019723,"Акционерное общество ""Александровский завод бурового оборудования""","601651, область Владимирская, район Александровский, город Александров, улица Юбилейная, 8",город Александров,Владимирская обл.,Россия,,Самовывоз,11003184,93557965,3301019723,"Акционерное общество ""Александровский завод бурового оборудования""",город Москва,Россия,93557965,Александровский завод бурового оборудования,Владимирская область,Центральный ФО,Россия,РФ,Машиностроение,Буровое и нефтепромысловое,Буровое и нефтепромысловое,-,-,В31829,Александровский завод бурового оборудования,Александровский завод бурового оборудования,,,38.06,7,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 45 180 40,"Трубы горячедеформированные общего назначения D180,00 X S40,00 ГОСТ 8732-78/8731-74, МСт 45, ГрПст В, К/Д: 1700 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,180,,,40,,45,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,5.952,RUB,"1,00000",570400.03968,95833.34,EXW,"АО ""ВТЗ""",,,,ДПВР,БН ПП,ОП_ПМП,ЗУЕВ Н.А.,,11003184,93557965,3301019723,"Акционерное общество ""Александровский завод бурового оборудования""","601651, область Владимирская, район Александровский, город Александров, улица Юбилейная, 8",город Александров,Владимирская обл.,Россия,,Самовывоз,11003184,93557965,3301019723,"Акционерное общество ""Александровский завод бурового оборудования""",город Москва,Россия,93557965,Александровский завод бурового оборудования,Владимирская область,Центральный ФО,Россия,РФ,Машиностроение,Буровое и нефтепромысловое,Буровое и нефтепромысловое,-,-,В31830,Александровский завод бурового оборудования,Александровский завод бурового оборудования,,,43.1,5,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 30ХГСА 114 10,"Трубы горячедеформированные общего назначения D114,00 X S10,00 ГОСТ 8732-78/8731-74, МСт 30ХГСА, ГрПст В, М/Д: 8300 Обрезка резцом, ТипКонцов: Прямой рез",ГОСТ 8732-78/8731-74,,,114,,,10,,30ХГСА,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,1.888,RUB,"1,00000",204533.34592,108333.34,EXW,"АО ""ВТЗ""",,,,,БН ПП,ОП_ПМП,ЗУЕВ Н.А.,,11003184,93557965,3301019723,"Акционерное общество ""Александровский завод бурового оборудования""","601651, область Владимирская, район Александровский, город Александров, улица Юбилейная, 8",город Александров,Владимирская обл.,Россия,,Самовывоз,11003184,93557965,3301019723,"Акционерное общество ""Александровский завод бурового оборудования""",город Москва,Россия,93557965,Александровский завод бурового оборудования,Владимирская область,Центральный ФО,Россия,РФ,Машиностроение,Буровое и нефтепромысловое,Буровое и нефтепромысловое,-,-,В31831,Александровский завод бурового оборудования,Александровский завод бурового оборудования,,,73.62,9,Гд Общ,Бш Пром/Seamless Ind
