Завод,Год отгрузки,Месяц,Дата фактической отгрузки,Цех,Стан,МЗК,Получатель МЗК,ОХ,Обозначение ВнешГрМт,Краткое наименование материала,Полное наименование материала,НТД трубы,НД на покрытие,НД на внутреннее покрытие,"Диаметр наружный, мм","Размер 1, мм","Размер 2, мм","Стенка, мм","Длина трубы, мм",Марка стали,Группа прочности,Тип Резьбы,Высадка,Признак термообрабоки,Вид труб-М1,Вид труб-М2,Вид труб-М3 Вид бизнеса,Вид труб-М4-Спец,"Вес, тн.",Валюта Документа,Валютный курс с/ф ТД,"Стоимость ТД без НДС, руб.","Цена ТД без НДС, руб./тн.",Инкотермс,"Инкотермс, Место",Код ТН ВЭД,Номер ГТД,Дата ГТД,Отдел Сбыта,ПФМ Код,ПФМ Текст,Куратор,Спецификация ТД-клиент,Внутр.номер Получателя,ОКПО получателя,ИНН получателя,Получатель,Адрес Получателя,Город Получателя,Регион Получателя,Страна Получателя,Станция назначения,Тип отгрузки,Внутр.номер Плательщика,ОКПО плательщика,ИНН плательщика,Плательщик,Город Плательщика,Страна Плательщика,ОКПО основного потребителя,Основной Потребитель,Регион ПОСТАВКИ РФ,Фед.округ РФ/ Регион мира,Страна назначения,Направление отгрузки,Отрасль Основного Потребителя,Подотрасль Основного Потребителя,Подотрасль потребителя 2 /продукт,Холдинги,Металлотрейдер,№ строки,Получатель рабочее наименование,Плательщик рабочее наименование,ЗРУ из КД,ИГК из КС,"Количество, м","Количество, шт.",Вид трубы Бизнес (M1),Сегмент Бизнес (M3)
ВТЗ,2024,Декабрь,2024-12-02,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 30Х 83 19,"Трубы горячедеформированные общего назначения ГОСТ 8732-78/8731-74, D83 ,00 S19,00, МСт 30Х, ТС 2-2022, ГрПст Б, длина по ТС, Концовка: Прямой рез Обрезка резцом",ГОСТ 8732-78/8731-74,,,83.0,,,19.0,,30Х,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,20.0,RUB,"1,00000",2718820.0,135941.0,FCA,"АО ""ВТЗ""",,,,,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11011574,88605449,5256083213.0,"Общество с ограниченной ответственностью ""Нижегородские Автокомпоненты""","603004, г. Нижний Новгород, ул. Монастырка 7, оф. 54",г. Нижний Новгород,Нижегородская обл.,Россия,,Самовывоз,11011574,88605449,5256083213,"Общество с ограниченной ответственностью ""Нижегородские Автокомпоненты""",город Москва,Россия,88605449,Автокомпоненты - Группа ГАЗ,Нижегородская область,Приволжский ФО,Россия,РФ,Машиностроение,Автомобильное,Автокомпоненты,-,-,В31786,Автокомпоненты - Группа ГАЗ,Автокомпоненты - Группа ГАЗ,,,661.39,105,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-02,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 35 108 22,"Трубы горячедеформированные общего назначения D108,00 X S22,00 ГОСТ 8732-78/8731-74, МСт 35, ГрПст В, М/Д: 6000 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,108.0,,,22.0,,35,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,5.23,RUB,"1,00000",653750.0,125000.0,FCA,"АО ""ВТЗ""",,,,,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11012263,49042961,6025018018.0,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""","182112, Псковская область, г. Великие Луки, ул. Корниенко, д. 6",г. Великие Луки,Псковская обл.,Россия,,Самовывоз,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""",город Москва,Россия,49042961,ВЕЛМАШ-Сервис,Псковская область,Северо-Западный ФО,Россия,РФ,Машиностроение,Подъемно-транспортное (крановое),-,-,-,В31787,ВЕЛМАШ-Сервис,ВЕЛМАШ-Сервис,,,115.9,19,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-02,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 35 121 14,"Трубы горячедеформированные общего назначения D121,00 X S14,00 ГОСТ 8732-78/8731-74, МСт 35, ГрПст В, М/Д: 6000 Обрезка резцом, ТипКонцов: Прямой рез",ГОСТ 8732-78/8731-74,,,121.0,,,14.0,,35,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,5.425,RUB,"1,00000",678125.0,125000.0,FCA,"АО ""ВТЗ""",,,,,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11012263,49042961,6025018018.0,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""","182112, Псковская область, г. Великие Луки, ул. Корниенко, д. 6",г. Великие Луки,Псковская обл.,Россия,,Самовывоз,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""",город Москва,Россия,49042961,ВЕЛМАШ-Сервис,Псковская область,Северо-Западный ФО,Россия,РФ,Машиностроение,Подъемно-транспортное (крановое),-,-,-,В31788,ВЕЛМАШ-Сервис,ВЕЛМАШ-Сервис,,,152.0,25,Гд Общ,Бш Пром/Seamless Ind
